hk_district,district,restaurant,cuisine,veg_type,address,latitude,longitude,openrice_url,phone,remarks
港島,北角,滕王閣素葷美食,港式,非素食,北角和富道21-53號和富地庫B50-51號舖和富樓下美食廣場C5號舖,"22.292243719317963, 114.19669318174738",,https://www.openrice.com/zh/hongkong/r-%E6%BB%95%E7%8E%8B%E9%96%A3%E7%B4%A0%E8%91%B7%E7%BE%8E%E9%A3%9F-north-point-hong-kong-style-vegetarian-r680932,54277888,
港島,北角,三德素食館 (僑冠大廈),"中菜, 粵菜",蛋奶素,北角英皇道395號僑冠大廈1樓,"22.29119584339536, 114.1995346580123",,https://www.openrice.com/zh/hongkong/r-%E4%B8%89%E5%BE%B7%E7%B4%A0%E9%A3%9F%E9%A4%A8-%E5%8C%97%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r12333,28561333,
港島,北角,素食園坊,港式,蛋奶素,北角英皇道406-408號康威大廈地下3號舖,"22.290595307097032, 114.1988781708931",,https://www.openrice.com/zh/hongkong/r-%E7%B4%A0%E9%A3%9F%E5%9C%92%E5%9D%8A-%E5%8C%97%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r666149,28779411,
港島,北角,意素園,"中菜, 粵菜",純素,北角北角道10號北角亞太商業中心地下1號舖,"22.29141537447339, 114.1967093731363",,https://www.openrice.com/zh/hongkong/r-%E6%84%8F%E7%B4%A0%E5%9C%92-%E5%8C%97%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r785290,90363481,
港島,北角,上善素餐廳,"中菜, 粵菜",蛋奶素,北角錦屏街7-9號地舖,"22.290752131681803, 114.20005369677503",,https://www.openrice.com/zh/hongkong/r-%E4%B8%8A%E5%96%84%E7%B4%A0%E9%A4%90%E5%BB%B3-%E5%8C%97%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r563019,66832121,
港島,北角,轉素快,港式,蛋奶素,北角電氣道308號聯和大廈地下C4號舖,"22.290431930432458, 114.19478194621597",,https://www.openrice.com/zh/hongkong/r-%E8%BD%89%E7%B4%A0%E5%BF%AB-%E5%8C%97%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r809041,67462803,
港島,鰂魚涌,陽光素食,"中菜, 粵菜",蛋奶素,鰂魚涌海澤街5號海暉大廈地舖,"22.288818820612978, 114.21057539836016",,https://www.openrice.com/zh/hongkong/r-%E9%99%BD%E5%85%89%E7%B4%A0%E9%A3%9F-%E9%B0%82%E9%AD%9A%E6%B6%8C-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r797130,92782678,
港島,太古,好素純素餐廳,多國菜,純素,太古康山道2號康蘭居9樓,"22.284213643362172, 114.21643449870191",,https://www.openrice.com/zh/hongkong/r-%E5%A5%BD%E7%B4%A0%E7%B4%94%E7%B4%A0%E9%A4%90%E5%BB%B3-%E5%A4%AA%E5%8F%A4-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E5%BB%9A%E5%B8%AB%E7%99%BC%E8%BE%A6-r721225,28809188,
港島,西灣河,金膳健康素食,"中菜, 粵菜",蛋奶素,西灣河筲箕灣道250號御景軒地下F-G號舖,"22.280296280622974, 114.22504241058286",,https://www.openrice.com/zh/hongkong/r-%E9%87%91%E8%86%B3%E5%81%A5%E5%BA%B7%E7%B4%A0%E9%A3%9F-%E8%A5%BF%E7%81%A3%E6%B2%B3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r14702,25696333,
九龍,尖沙咀,Green Common 海港城店,多國菜,純素,尖沙咀廣東道17號海港城海運大廈地下OT G61號舖,"22.295162976308962, 114.16780174959108",,https://www.openrice.com/zh/hongkong/r-green-common-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E6%B2%99%E5%BE%8B-r512455,31021220,
九龍,尖沙咀,緻素坊 Veggie Kingdom,"中菜, 粵菜",蛋奶素,尖沙咀廣東道120號海威商業中心7樓,"22.299634814669837, 114.16871940873287",,https://www.openrice.com/zh/hongkong/r-%E7%B7%BB%E7%B4%A0%E5%9D%8A-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r720040,23663233,
九龍,尖沙咀,大自然素食（尖沙咀）,"中菜, 粵菜",蛋奶素,尖沙咀美麗華廣場一期2樓212號舖,"22.301411706284743, 114.17261109524038",,https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E8%87%AA%E7%84%B6%E7%B4%A0%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r38102,23761186,
九龍,尖沙咀,功德林上海素食 (尖沙咀),"中菜, 滬菜",蛋奶素,尖沙咀北京道1號7樓,"22.296150522720467, 114.17004132663864",,https://www.openrice.com/zh/hongkong/r-%E5%8A%9F%E5%BE%B7%E6%9E%97%E4%B8%8A%E6%B5%B7%E7%B4%A0%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E6%BB%AC%E8%8F%9C-%E4%B8%8A%E6%B5%B7-%E7%B4%A0%E9%A3%9F-r1752,23127800,
九龍,尖沙咀,Nuttea,台式飲品,純素,尖沙咀彌敦道132號美麗華廣場1期1樓108A號舖,"22.300668907966998, 114.17211620123605",,https://www.openrice.com/zh/hongkong/r-nuttea-%E5%B0%96%E6%B2%99%E5%92%80-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E6%9E%9C%E6%B1%81-r748553,52665341,
九龍,尖沙咀,活蘭印度素食 Woodlands Indian Vegetarian Restaurant,印度菜,蛋奶素,尖沙咀麼地道62號永安廣場UG 16-17號舖,"22.296879687003855, 114.1763652969431",,https://www.openrice.com/zh/hongkong/r-woodlands-indian-vegetarian-restaurant-tsim-sha-tsui-indian-meatless-menu-r21500,23693718,
九龍,尖沙咀,新意達 Sangeetha Vegetarian Restaurant,印度菜,蛋奶素,"尖沙咀麼地道62號永安廣場UG樓1-5,31號舖","22.296720639624922, 114.17642216640434",,https://www.openrice.com/zh/hongkong/r-sangeetha-vegetarian-restaurant-tsim-sha-tsui-indian-vegetarian-r184082,26402123,
九龍,尖沙咀,鄭​師姐泰式素食私房菜,"泰國菜, 私房菜",蛋奶素,尖沙咀麼地道16號半島大廈8樓E座,"22.297023639172522, 114.17336449524011",,https://www.openrice.com/zh/hongkong/r-%E9%84%AD-%E5%B8%AB%E5%A7%90%E6%B3%B0%E5%BC%8F%E7%B4%A0%E9%A3%9F%E7%A7%81%E6%88%BF%E8%8F%9C-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r161870,27804339,
九龍,尖沙咀,慈素小聚,"中菜, 粵菜",蛋奶素,尖沙咀麼地道30號Mody House 8樓,"22.297102579041077, 114.17446146886",,https://www.openrice.com/zh/hongkong/r-%E6%85%88%E7%B4%A0%E5%B0%8F%E8%81%9A-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E6%B9%AF%E5%93%81-r801663,51220223,
九龍,尖沙咀,野玩田店 Something Wild - The Farms ,西式,蛋奶素,尖沙咀彌敦道63號iSQUARE國際廣場3樓307號舖,"22.29723343885941, 114.1719173529118",,https://www.openrice.com/zh/hongkong/r-%E9%87%8E%E7%8E%A9%E7%94%B0%E5%BA%97-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E6%B2%99%E5%BE%8B-r698279,37554899,
九龍,尖沙咀,Branto 印度素食餐廳,印度菜,蛋奶素,尖沙咀樂道9號1樓,"22.29722586550622, 114.17146293756859",,https://www.openrice.com/zh/hongkong/r-branto-%E5%8D%B0%E5%BA%A6%E7%B4%A0%E9%A3%9F%E9%A4%90%E5%BB%B3-%E5%B0%96%E6%B2%99%E5%92%80-%E5%8D%B0%E5%BA%A6%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r10437,23668171,
九龍,尖沙咀,每日 Everyday,自助餐,蛋奶素,尖沙咀山林道10-12號山林閣地舖,"22.302732870400977, 114.17275532220717",,https://www.openrice.com/zh/hongkong/r-%E6%AF%8F%E6%97%A5-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E6%B2%99%E5%BE%8B-r584611,25702266,
九龍,尖沙咀,雅 ‧悠蔬食,多國菜,蛋奶素,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,"22.299123986738913, 114.17494649500252",,https://www.openrice.com/zh/hongkong/r-%E9%9B%85-%E6%82%A0%E8%94%AC%E9%A3%9F-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r513285,37065827,
